region,year,value,diagnosis,region_standard
Омская область,2012,9.5,drugs,Омская область
Томская область,2012,8.3,drugs,Томская область
Дальневосточный федеральный округ,2012,18.2,drugs,
Республика Бурятия,2012,5.1,drugs,Республика Бурятия
Республика Саха (Якутия),2012,6.4,drugs,Республика Саха (Якутия)
Забайкальский край,2012,5.3,drugs,Забайкальский край
Камчатский край,2012,12.8,drugs,Камчатский край
Приморский край,2012,23.3,drugs,Приморский край
Хабаровский край,2012,12.3,drugs,Хабаровский край
Амурская область,2012,24.2,drugs,Амурская область
Магаданская область,2012,19.4,drugs,Магаданская область
Сахалинская область,2012,27.7,drugs,Сахалинская область
Еврейская автономная область,2012,29.8,drugs,Еврейская автономная область
Чукотский автономный округ,2012,0.0,drugs,Чукотский автономный округ
Российская Федерация,2013,12.6,drugs,
Центральный федеральный округ,2013,13.9,drugs,
Белгородская область,2013,2.4,drugs,Белгородская область
Брянская область,2013,12.8,drugs,Брянская область
Владимирская область,2013,11.5,drugs,Владимирская область
Воронежская область,2013,16.8,drugs,Воронежская область
Ивановская область,2013,7.9,drugs,Ивановская область
Калужская область,2013,10.1,drugs,Калужская область
Костромская область,2013,3.5,drugs,Костромская область
Курская область,2013,8.6,drugs,Курская область
Липецкая область,2013,8.8,drugs,Липецкая область
Московская область,2013,17.2,drugs,Московская область
Орловская область,2013,3.0,drugs,Орловская область
Рязанская область,2013,6.8,drugs,Рязанская область
Смоленская область,2013,15.9,drugs,Смоленская область
Тамбовская область,2013,2.7,drugs,Тамбовская область
Тверская область,2013,4.2,drugs,Тверская область
Тульская область,2013,4.2,drugs,Тульская область
Ярославская область,2013,9.7,drugs,Ярославская область
г. Москва,2013,20.8,drugs,Москва
Северо-Западный федеральный округ,2013,9.9,drugs,
Республика Карелия,2013,4.2,drugs,Республика Карелия
Республика Коми,2013,7.0,drugs,Республика Коми
Архангельская область,2013,4.0,drugs,Архангельская область
Ненецкий автономный округ (Архангельская область),2013,4.7,drugs,Ненецкий автономный округ
Вологодская область,2013,8.7,drugs,Вологодская область
Калининградская область,2013,4.8,drugs,Калининградская область
Ленинградская область,2013,10.4,drugs,Ленинградская область
Мурманская область,2013,21.7,drugs,Мурманская область
Новгородская область,2013,11.8,drugs,Новгородская область
Псковская область,2013,9.8,drugs,Псковская область
г. Санкт-Петербург,2013,11.5,drugs,Санкт-Петербург
Южный федеральный округ  (до 03.06.2014),2013,6.9,drugs,
Республика Адыгея (Адыгея) (до 03.06.2014),2013,5.9,drugs,Республика Адыгея
Республика Калмыкия,2013,0.4,drugs,Республика Калмыкия
Краснодарский край,2013,4.3,drugs,Краснодарский край
Астраханская область,2013,2.3,drugs,Астраханская область
Волгоградская область,2013,6.0,drugs,Волгоградская область
Ростовская область,2013,12.3,drugs,Ростовская область
Северо-Кавказский федеральный округ (до 03.06.2014),2013,8.0,drugs,
Республика Дагестан,2013,14.6,drugs,Республика Дагестан
Республика Ингушетия,2013,1.4,drugs,Республика Ингушетия
Кабардино-Балкарская Республика,2013,12.8,drugs,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2013,4.9,drugs,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2013,2.1,drugs,Республика Северная Осетия - Алания
Чеченская Республика,2013,1.2,drugs,Чеченская Республика
Ставропольский край,2013,5.8,drugs,Ставропольский край
Приволжский федеральный округ,2013,8.1,drugs,
Республика Башкортостан,2013,8.9,drugs,Республика Башкортостан
Республика Марий Эл,2013,3.9,drugs,Республика Марий Эл
Республика Мордовия,2013,7.6,drugs,Республика Мордовия
Республика Татарстан (Татарстан),2013,6.8,drugs,Республика Татарстан
Удмуртская Республика,2013,3.8,drugs,Удмуртская Республика
Чувашская Республика - Чувашия,2013,2.3,drugs,Чувашская Республика
Пермский край,2013,5.5,drugs,Пермский край
Кировская область,2013,2.1,drugs,Кировская область
Нижегородская область,2013,15.1,drugs,Нижегородская область
Оренбургская область,2013,4.3,drugs,Оренбургская область
Пензенская область,2013,7.7,drugs,Пензенская область
Самарская область,2013,13.3,drugs,Самарская область
Саратовская область,2013,6.9,drugs,Саратовская область
Ульяновская область,2013,13.3,drugs,Ульяновская область
Уральский федеральный округ,2013,23.9,drugs,
Курганская область,2013,15.0,drugs,Курганская область
Свердловская область,2013,24.0,drugs,Свердловская область
Тюменская область,2013,13.0,drugs,Тюменская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2013,16.2,drugs,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2013,9.0,drugs,Ямало-Ненецкий автономный округ
Челябинская область,2013,36.2,drugs,Челябинская область
Сибирский федеральный округ,2013,17.1,drugs,
Республика Алтай,2013,7.6,drugs,Республика Алтай
Республика Тыва,2013,6.4,drugs,Республика Тыва
Республика Хакасия,2013,8.8,drugs,Республика Хакасия
Алтайский край,2013,22.9,drugs,Алтайский край
Красноярский край,2013,15.9,drugs,Красноярский край
Иркутская область,2013,24.9,drugs,Иркутская область
Кемеровская область,2013,20.0,drugs,Кемеровская область
Новосибирская область,2013,22.0,drugs,Новосибирская область
Омская область,2013,8.9,drugs,Омская область
Томская область,2013,18.2,drugs,Томская область
Дальневосточный федеральный округ,2013,16.2,drugs,
Республика Бурятия,2013,4.1,drugs,Республика Бурятия
Республика Саха (Якутия),2013,5.4,drugs,Республика Саха (Якутия)
Забайкальский край,2013,4.2,drugs,Забайкальский край
Камчатский край,2013,12.2,drugs,Камчатский край
Приморский край,2013,24.5,drugs,Приморский край
Хабаровский край,2013,9.4,drugs,Хабаровский край
Амурская область,2013,22.5,drugs,Амурская область
Магаданская область,2013,18.4,drugs,Магаданская область
Сахалинская область,2013,11.8,drugs,Сахалинская область
Еврейская автономная область,2013,27.2,drugs,Еврейская автономная область
Чукотский автономный округ,2013,3.9,drugs,Чукотский автономный округ
Российская Федерация,2014,14.5,drugs,
Центральный федеральный округ,2014,16.9,drugs,
Белгородская область,2014,1.9,drugs,Белгородская область
Брянская область,2014,14.8,drugs,Брянская область
Владимирская область,2014,15.5,drugs,Владимирская область
Воронежская область,2014,19.9,drugs,Воронежская область
Ивановская область,2014,9.0,drugs,Ивановская область
Калужская область,2014,18.4,drugs,Калужская область
Костромская область,2014,6.0,drugs,Костромская область
Курская область,2014,10.8,drugs,Курская область
Липецкая область,2014,9.8,drugs,Липецкая область
Московская область,2014,21.9,drugs,Московская область
Орловская область,2014,4.6,drugs,Орловская область
Рязанская область,2014,27.4,drugs,Рязанская область
Смоленская область,2014,21.2,drugs,Смоленская область
Тамбовская область,2014,2.4,drugs,Тамбовская область
Тверская область,2014,6.8,drugs,Тверская область
Тульская область,2014,7.9,drugs,Тульская область
Ярославская область,2014,14.3,drugs,Ярославская область
г. Москва,2014,21.1,drugs,Москва
Северо-Западный федеральный округ,2014,8.8,drugs,
Республика Карелия,2014,5.2,drugs,Республика Карелия
Республика Коми,2014,11.0,drugs,Республика Коми
Ненецкий автономный округ (Архангельская область),2014,4.6,drugs,Ненецкий автономный округ
Вологодская область,2014,4.5,drugs,Вологодская область
Калининградская область,2014,6.1,drugs,Калининградская область
Ленинградская область,2014,8.9,drugs,Ленинградская область
Мурманская область,2014,14.9,drugs,Мурманская область
Новгородская область,2014,10.5,drugs,Новгородская область
Псковская область,2014,11.5,drugs,Псковская область
г. Санкт-Петербург,2014,9.4,drugs,Санкт-Петербург
Приволжский федеральный округ,2014,9.5,drugs,
Республика Башкортостан,2014,6.7,drugs,Республика Башкортостан
Республика Марий Эл,2014,7.0,drugs,Республика Марий Эл
Республика Мордовия,2014,9.6,drugs,Республика Мордовия
Республика Татарстан (Татарстан),2014,7.4,drugs,Республика Татарстан
Удмуртская Республика,2014,4.7,drugs,Удмуртская Республика
Чувашская Республика - Чувашия,2014,1.7,drugs,Чувашская Республика
Пермский край,2014,6.4,drugs,Пермский край
Кировская область,2014,3.0,drugs,Кировская область
Нижегородская область,2014,14.2,drugs,Нижегородская область
Оренбургская область,2014,5.5,drugs,Оренбургская область
Пензенская область,2014,12.2,drugs,Пензенская область
Самарская область,2014,17.4,drugs,Самарская область
Саратовская область,2014,8.5,drugs,Саратовская область
Ульяновская область,2014,25.6,drugs,Ульяновская область
Уральский федеральный округ,2014,26.8,drugs,
Курганская область,2014,21.4,drugs,Курганская область
Свердловская область,2014,27.1,drugs,Свердловская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2014,18.5,drugs,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2014,7.8,drugs,Ямало-Ненецкий автономный округ
Челябинская область,2014,36.5,drugs,Челябинская область
Сибирский федеральный округ,2014,19.1,drugs,
Республика Алтай,2014,5.6,drugs,Республика Алтай
Республика Тыва,2014,10.2,drugs,Республика Тыва
Республика Хакасия,2014,12.3,drugs,Республика Хакасия
Алтайский край,2014,21.6,drugs,Алтайский край
Красноярский край,2014,26.8,drugs,Красноярский край
Иркутская область,2014,22.8,drugs,Иркутская область
Кемеровская область,2014,22.5,drugs,Кемеровская область
Новосибирская область,2014,21.4,drugs,Новосибирская область
Омская область,2014,15.7,drugs,Омская область
Томская область,2014,12.2,drugs,Томская область
Дальневосточный федеральный округ,2014,21.6,drugs,
Республика Бурятия,2014,5.2,drugs,Республика Бурятия
Республика Саха (Якутия),2014,7.9,drugs,Республика Саха (Якутия)
Забайкальский край,2014,5.6,drugs,Забайкальский край
Камчатский край,2014,12.3,drugs,Камчатский край
Приморский край,2014,37.4,drugs,Приморский край
Хабаровский край,2014,10.5,drugs,Хабаровский край
Амурская область,2014,22.2,drugs,Амурская область
Магаданская область,2014,6.8,drugs,Магаданская область
Сахалинская область,2014,26.0,drugs,Сахалинская область
Еврейская автономная область,2014,25.5,drugs,Еврейская автономная область
Чукотский автономный округ,2014,0.0,drugs,Чукотский автономный округ
Российская Федерация,2015,14.1,drugs,
Центральный федеральный округ,2015,14.9,drugs,
Белгородская область,2015,2.0,drugs,Белгородская область
Брянская область,2015,6.7,drugs,Брянская область
Владимирская область,2015,21.3,drugs,Владимирская область
Воронежская область,2015,26.0,drugs,Воронежская область
Ивановская область,2015,6.4,drugs,Ивановская область
Калужская область,2015,15.5,drugs,Калужская область
Костромская область,2015,8.9,drugs,Костромская область
Курская область,2015,10.4,drugs,Курская область
Липецкая область,2015,6.2,drugs,Липецкая область
Московская область,2015,18.4,drugs,Московская область
Орловская область,2015,3.4,drugs,Орловская область
Рязанская область,2015,29.5,drugs,Рязанская область
Смоленская область,2015,15.7,drugs,Смоленская область
Тамбовская область,2015,4.5,drugs,Тамбовская область
Тверская область,2015,6.0,drugs,Тверская область
Тульская область,2015,7.5,drugs,Тульская область
Ярославская область,2015,18.1,drugs,Ярославская область
г. Москва,2015,16.5,drugs,Москва
Северо-Западный федеральный округ,2015,9.5,drugs,
Республика Карелия,2015,7.0,drugs,Республика Карелия
Республика Коми,2015,17.0,drugs,Республика Коми
Ненецкий автономный округ (Архангельская область),2015,4.6,drugs,Ненецкий автономный округ
Вологодская область,2015,4.5,drugs,Вологодская область
Калининградская область,2015,6.1,drugs,Калининградская область
Ленинградская область,2015,9.5,drugs,Ленинградская область
Мурманская область,2015,14.4,drugs,Мурманская область
Новгородская область,2015,10.7,drugs,Новгородская область
Псковская область,2015,10.6,drugs,Псковская область
г. Санкт-Петербург,2015,9.4,drugs,Санкт-Петербург
Приволжский федеральный округ,2015,10.2,drugs,
Республика Башкортостан,2015,6.1,drugs,Республика Башкортостан
Республика Марий Эл,2015,3.3,drugs,Республика Марий Эл
Республика Мордовия,2015,6.6,drugs,Республика Мордовия
Республика Татарстан (Татарстан),2015,9.5,drugs,Республика Татарстан
Удмуртская Республика,2015,4.9,drugs,Удмуртская Республика
Чувашская Республика - Чувашия,2015,1.5,drugs,Чувашская Республика
Пермский край,2015,5.8,drugs,Пермский край
Кировская область,2015,3.7,drugs,Кировская область
Нижегородская область,2015,14.7,drugs,Нижегородская область
Оренбургская область,2015,5.1,drugs,Оренбургская область
Пензенская область,2015,12.0,drugs,Пензенская область
Самарская область,2015,28.1,drugs,Самарская область
Саратовская область,2015,7.7,drugs,Саратовская область
Ульяновская область,2015,16.6,drugs,Ульяновская область
Уральский федеральный округ,2015,24.0,drugs,
Курганская область,2015,22.8,drugs,Курганская область
Свердловская область,2015,19.7,drugs,Свердловская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2015,21.0,drugs,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2015,14.3,drugs,Ямало-Ненецкий автономный округ
Челябинская область,2015,35.7,drugs,Челябинская область
Сибирский федеральный округ,2015,19.1,drugs,
Республика Алтай,2015,10.3,drugs,Республика Алтай
Республика Тыва,2015,2.9,drugs,Республика Тыва
Республика Хакасия,2015,21.3,drugs,Республика Хакасия
Алтайский край,2015,20.7,drugs,Алтайский край
Красноярский край,2015,25.5,drugs,Красноярский край
Иркутская область,2015,19.1,drugs,Иркутская область
Кемеровская область,2015,22.2,drugs,Кемеровская область
Новосибирская область,2015,27.2,drugs,Новосибирская область
Омская область,2015,9.5,drugs,Омская область
Томская область,2015,16.1,drugs,Томская область
Дальневосточный федеральный округ,2015,24.2,drugs,
Республика Бурятия,2015,7.3,drugs,Республика Бурятия
Республика Саха (Якутия),2015,5.4,drugs,Республика Саха (Якутия)
Забайкальский край,2015,7.4,drugs,Забайкальский край
Камчатский край,2015,11.3,drugs,Камчатский край
Приморский край,2015,43.5,drugs,Приморский край
Хабаровский край,2015,16.7,drugs,Хабаровский край
Амурская область,2015,19.1,drugs,Амурская область
Магаданская область,2015,9.5,drugs,Магаданская область
Сахалинская область,2015,24.6,drugs,Сахалинская область
Еврейская автономная область,2015,37.4,drugs,Еврейская автономная область
Чукотский автономный округ,2015,0.0,drugs,Чукотский автономный округ
Российская Федерация,2016,11.1,drugs,
Центральный федеральный округ,2016,10.7,drugs,
Белгородская область,2016,1.6,drugs,Белгородская область
Брянская область,2016,13.2,drugs,Брянская область
Владимирская область,2016,10.7,drugs,Владимирская область
Воронежская область,2016,20.1,drugs,Воронежская область
Ивановская область,2016,3.8,drugs,Ивановская область
Калужская область,2016,9.0,drugs,Калужская область
Костромская область,2016,7.4,drugs,Костромская область
Курская область,2016,8.3,drugs,Курская область
Липецкая область,2016,9.0,drugs,Липецкая область
Московская область,2016,13.7,drugs,Московская область
Орловская область,2016,3.4,drugs,Орловская область
Рязанская область,2016,27.1,drugs,Рязанская область
Смоленская область,2016,6.2,drugs,Смоленская область
Тамбовская область,2016,3.4,drugs,Тамбовская область
Тверская область,2016,5.0,drugs,Тверская область
Тульская область,2016,8.9,drugs,Тульская область
Ярославская область,2016,9.4,drugs,Ярославская область
г. Москва,2016,10.2,drugs,Москва
Северо-Западный федеральный округ,2016,8.9,drugs,
Республика Карелия,2016,7.0,drugs,Республика Карелия
Республика Коми,2016,11.0,drugs,Республика Коми
Ненецкий автономный округ (Архангельская область),2016,0.0,drugs,Ненецкий автономный округ
Вологодская область,2016,4.4,drugs,Вологодская область
Калининградская область,2016,6.5,drugs,Калининградская область
Ленинградская область,2016,8.9,drugs,Ленинградская область
Мурманская область,2016,9.2,drugs,Мурманская область
Новгородская область,2016,10.9,drugs,Новгородская область
Псковская область,2016,5.4,drugs,Псковская область
г. Санкт-Петербург,2016,11.3,drugs,Санкт-Петербург
Приволжский федеральный округ,2016,8.3,drugs,
Республика Башкортостан,2016,5.4,drugs,Республика Башкортостан
Республика Марий Эл,2016,2.2,drugs,Республика Марий Эл
Республика Мордовия,2016,8.2,drugs,Республика Мордовия
Республика Татарстан (Татарстан),2016,9.7,drugs,Республика Татарстан
Удмуртская Республика,2016,3.7,drugs,Удмуртская Республика
Чувашская Республика - Чувашия,2016,1.9,drugs,Чувашская Республика
Пермский край,2016,10.4,drugs,Пермский край
Кировская область,2016,3.7,drugs,Кировская область
Нижегородская область,2016,10.6,drugs,Нижегородская область
Оренбургская область,2016,4.7,drugs,Оренбургская область
Пензенская область,2016,7.6,drugs,Пензенская область
Самарская область,2016,13.3,drugs,Самарская область
Саратовская область,2016,5.5,drugs,Саратовская область
Ульяновская область,2016,21.5,drugs,Ульяновская область
Уральский федеральный округ,2016,16.9,drugs,
Курганская область,2016,20.1,drugs,Курганская область
Свердловская область,2016,14.3,drugs,Свердловская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2016,15.3,drugs,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2016,9.5,drugs,Ямало-Ненецкий автономный округ
Челябинская область,2016,23.3,drugs,Челябинская область
Сибирский федеральный округ,2016,15.5,drugs,
Республика Алтай,2016,7.0,drugs,Республика Алтай
Республика Тыва,2016,8.6,drugs,Республика Тыва
Республика Хакасия,2016,13.6,drugs,Республика Хакасия
Алтайский край,2016,17.4,drugs,Алтайский край
Красноярский край,2016,20.0,drugs,Красноярский край
Иркутская область,2016,17.9,drugs,Иркутская область
Кемеровская область,2016,17.8,drugs,Кемеровская область
Новосибирская область,2016,21.3,drugs,Новосибирская область
Омская область,2016,8.2,drugs,Омская область
Томская область,2016,11.1,drugs,Томская область
Дальневосточный федеральный округ,2016,25.3,drugs,
Республика Бурятия,2016,3.7,drugs,Республика Бурятия
Республика Саха (Якутия),2016,3.2,drugs,Республика Саха (Якутия)
Забайкальский край,2016,5.5,drugs,Забайкальский край
Камчатский край,2016,10.1,drugs,Камчатский край
Приморский край,2016,52.6,drugs,Приморский край
Хабаровский край,2016,10.2,drugs,Хабаровский край
Амурская область,2016,18.9,drugs,Амурская область
Магаданская область,2016,11.6,drugs,Магаданская область
Сахалинская область,2016,15.4,drugs,Сахалинская область
Еврейская автономная область,2016,66.8,drugs,Еврейская автономная область
Чукотский автономный округ,2016,0.0,drugs,Чукотский автономный округ
Российская Федерация,2017,11,drugs,
Центральный федеральный округ,2017,10.3,drugs,
Белгородская область,2017,2.3,drugs,Белгородская область
Брянская область,2017,10.7,drugs,Брянская область
Владимирская область,2017,12.9,drugs,Владимирская область
Воронежская область,2017,23.2,drugs,Воронежская область
Ивановская область,2017,7.7,drugs,Ивановская область
Калужская область,2017,6.8,drugs,Калужская область
Костромская область,2017,10.2,drugs,Костромская область
Курская область,2017,3.6,drugs,Курская область
Липецкая область,2017,8.8,drugs,Липецкая область
Московская область,2017,11.9,drugs,Московская область
Орловская область,2017,4.5,drugs,Орловская область
Рязанская область,2017,17.1,drugs,Рязанская область
Смоленская область,2017,7.1,drugs,Смоленская область
Тамбовская область,2017,5,drugs,Тамбовская область
Тверская область,2017,7,drugs,Тверская область
Тульская область,2017,9.9,drugs,Тульская область
Ярославская область,2017,10.2,drugs,Ярославская область
город Москва,2017,9.5,drugs,Москва
Северо-Западный федеральный округ,2017,8.6,drugs,
Республика Карелия,2017,7.8,drugs,Республика Карелия
Республика Коми,2017,10.2,drugs,Республика Коми
Архангельская область без автономного округа,2017,5.4,drugs,Архангельская область
Ненецкий автономный округ,2017,0,drugs,Ненецкий автономный округ
Вологодская область,2017,5.8,drugs,Вологодская область
Калининградская область,2017,6.3,drugs,Калининградская область
Ленинградская область,2017,9.5,drugs,Ленинградская область
Мурманская область,2017,8.9,drugs,Мурманская область
Новгородская область,2017,12.8,drugs,Новгородская область
Псковская область,2017,6.4,drugs,Псковская область
город Санкт - Петербург,2017,9.7,drugs,Санкт-Петербург
Южный федеральный округ,2017,7.9,drugs,
Республика Адыгея,2017,4.9,drugs,Республика Адыгея
Республика Калмыкия,2017,0,drugs,Республика Калмыкия
Республика Крым,2017,14.8,drugs,Республика Крым
Краснодарский край,2017,4.2,drugs,Краснодарский край
Астраханская область,2017,0.7,drugs,Астраханская область
Волгоградская область,2017,8.3,drugs,Волгоградская область
Ростовская область,2017,9.7,drugs,Ростовская область
город Севастополь,2017,28.9,drugs,Севастополь
Северо-Кавказский федеральный округ,2017,6,drugs,
Республика Дагестан,2017,10.1,drugs,Республика Дагестан
Республика Ингушетия,2017,1.2,drugs,Республика Ингушетия
Кабардино-Балкарская Республика,2017,10.6,drugs,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2017,6,drugs,Карачаево-Черкесская Республика
Республика Северная Осетия - Алания,2017,5,drugs,Республика Северная Осетия - Алания
Чеченская Республика,2017,0.8,drugs,Чеченская Республика
Ставропольский край,2017,4,drugs,Ставропольский край
Приволжский федеральный округ,2017,8.2,drugs,
Республика Башкортостан,2017,5.6,drugs,Республика Башкортостан
Республика Марий Эл,2017,3.5,drugs,Республика Марий Эл
Республика Мордовия,2017,5.3,drugs,Республика Мордовия
Республика Татарстан,2017,10.5,drugs,Республика Татарстан
Удмуртская Республика,2017,7.5,drugs,Удмуртская Республика
Чувашская Республика,2017,1.7,drugs,Чувашская Республика
Пермский край,2017,12.7,drugs,Пермский край
Кировская область,2017,3.9,drugs,Кировская область
Нижегородская область,2017,7.3,drugs,Нижегородская область
Оренбургская область,2017,4.5,drugs,Оренбургская область
Пензенская область,2017,8.7,drugs,Пензенская область
Самарская область,2017,9.1,drugs,Самарская область
Саратовская область,2017,5.8,drugs,Саратовская область
Ульяновская область,2017,26.9,drugs,Ульяновская область
Уральский федеральный округ,2017,18.8,drugs,
Курганская область,2017,32.6,drugs,Курганская область
Свердловская область,2017,15.6,drugs,Свердловская область
Тюменская область без автономного округа,2017,12.8,drugs,Тюменская область
Ханты-Мансийский АО,2017,12,drugs,Ханты-Мансийский автономный округ
Ямало-Hенецкий АО,2017,14.1,drugs,Ямало-Ненецкий автономный округ
Челябинская область,2017,25.8,drugs,Челябинская область
Сибирский федеральный округ,2017,15.1,drugs,
Республика Алтай,2017,5.5,drugs,Республика Алтай
Республика Тыва,2017,12.2,drugs,Республика Тыва
Республика Хакасия,2017,15.1,drugs,Республика Хакасия
Алтайский край,2017,17.4,drugs,Алтайский край
Красноярский край,2017,18,drugs,Красноярский край
Иркутская область,2017,19.2,drugs,Иркутская область
Кемеровская область,2017,15.1,drugs,Кемеровская область
Новосибирская область,2017,21.9,drugs,Новосибирская область
Омская область,2017,6.8,drugs,Омская область
Томская область,2017,9.5,drugs,Томская область
Дальневосточный федеральный округ,2017,21.7,drugs,
Республика Бурятия,2017,3.3,drugs,Республика Бурятия
Республика Саха (Якутия),2017,2.9,drugs,Республика Саха (Якутия)
Забайкальский край,2017,9.4,drugs,Забайкальский край
Камчатский край,2017,5.1,drugs,Камчатский край
Приморский край,2017,37.6,drugs,Приморский край
Хабаровский край,2017,14.5,drugs,Хабаровский край
Амурская область,2017,18.7,drugs,Амурская область
Магаданская область,2017,10.4,drugs,Магаданская область
Сахалинская область,2017,19.8,drugs,Сахалинская область
Еврейская автономная область,2017,73,drugs,Еврейская автономная область
Чукотский автономный округ,2017,2,drugs,Чукотский автономный округ
Главное медицинское управление Управления делами Президента Российской Федерации,2017,-,drugs,
Российская Федерация,2018,10.1,drugs,
Центральный федеральный округ,2018,9.2,drugs,
Белгородская область,2018,3.2,drugs,Белгородская область
Брянская область,2018,6.1,drugs,Брянская область
Владимирская область,2018,7.8,drugs,Владимирская область
Воронежская область,2018,22.5,drugs,Воронежская область
Ивановская область,2018,5.7,drugs,Ивановская область
Калужская область,2018,6,drugs,Калужская область
Костромская область,2018,8.9,drugs,Костромская область
Курская область,2018,5.2,drugs,Курская область
Липецкая область,2018,5.7,drugs,Липецкая область
Московская область,2018,11,drugs,Московская область
Орловская область,2018,4.4,drugs,Орловская область
Рязанская область,2018,17.2,drugs,Рязанская область
Смоленская область,2018,7.1,drugs,Смоленская область
Тамбовская область,2018,5.1,drugs,Тамбовская область
Тверская область,2018,5,drugs,Тверская область
Тульская область,2018,9,drugs,Тульская область
Ярославская область,2018,7.6,drugs,Ярославская область
город Москва,2018,8.7,drugs,Москва
Северо-Западный федеральный округ,2018,8.1,drugs,
Республика Карелия,2018,5.1,drugs,Республика Карелия
Республика Коми,2018,10.7,drugs,Республика Коми
Архангельская область без автономного округа,2018,9.2,drugs,Архангельская область
Ненецкий автономный округ,2018,2.3,drugs,Ненецкий автономный округ
Вологодская область,2018,6.1,drugs,Вологодская область
Калининградская область,2018,4.2,drugs,Калининградская область
Ленинградская область,2018,8.6,drugs,Ленинградская область
Мурманская область,2018,6.2,drugs,Мурманская область
Новгородская область,2018,9.4,drugs,Новгородская область
Псковская область,2018,4.6,drugs,Псковская область
город Санкт - Петербург,2018,9.4,drugs,Санкт-Петербург
Южный федеральный округ,2018,7.8,drugs,
Республика Адыгея,2018,5.1,drugs,Республика Адыгея
Республика Калмыкия,2018,0.7,drugs,Республика Калмыкия
Республика Крым,2018,14.6,drugs,Республика Крым
Краснодарский край,2018,3.9,drugs,Краснодарский край
Астраханская область,2018,0.2,drugs,Астраханская область
Волгоградская область,2018,7.7,drugs,Волгоградская область
Ростовская область,2018,10.6,drugs,Ростовская область
город Севастополь,2018,25.4,drugs,Севастополь
Северо-Кавказский федеральный округ,2018,6,drugs,
Республика Дагестан,2018,9.1,drugs,Республика Дагестан
Республика Ингушетия,2018,2.7,drugs,Республика Ингушетия
Кабардино-Балкарская Республика,2018,10,drugs,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2018,5.4,drugs,Карачаево-Черкесская Республика
Республика Северная Осетия - Алания,2018,9.4,drugs,Республика Северная Осетия - Алания
Чеченская Республика,2018,0.6,drugs,Чеченская Республика
Ставропольский край,2018,4,drugs,Ставропольский край
Приволжский федеральный округ,2018,7.8,drugs,
Республика Башкортостан,2018,6.4,drugs,Республика Башкортостан
Республика Марий Эл,2018,2.9,drugs,Республика Марий Эл
Республика Мордовия,2018,1.9,drugs,Республика Мордовия
Республика Татарстан,2018,9.3,drugs,Республика Татарстан
Удмуртская Республика,2018,7.7,drugs,Удмуртская Республика
Чувашская Республика,2018,1.2,drugs,Чувашская Республика
Пермский край,2018,11.7,drugs,Пермский край
Кировская область,2018,4.1,drugs,Кировская область
Нижегородская область,2018,7,drugs,Нижегородская область
Оренбургская область,2018,3.7,drugs,Оренбургская область
Пензенская область,2018,6.2,drugs,Пензенская область
Самарская область,2018,12.1,drugs,Самарская область
Саратовская область,2018,5.7,drugs,Саратовская область
Ульяновская область,2018,19.1,drugs,Ульяновская область
Уральский федеральный округ,2018,15.1,drugs,
Курганская область,2018,22.5,drugs,Курганская область
Свердловская область,2018,12.9,drugs,Свердловская область
Тюменская область без автономного округа,2018,13.2,drugs,Тюменская область
Ханты-Мансийский АО,2018,6.2,drugs,Ханты-Мансийский автономный округ
Ямало-Hенецкий АО,2018,18.9,drugs,Ямало-Ненецкий автономный округ
Челябинская область,2018,20.6,drugs,Челябинская область
