region,year,population,region_standard
Самарская область,2017,3254055.0,Самарская область
Саратовская область,2017,2682054.0,Саратовская область
Ульяновская область,2017,1395882.0,Ульяновская область
Уральский федеральный округ,2017,12417742.0,
Курганская область,2017,1030748.0,Курганская область
Свердловская область,2017,4514084.0,Свердловская область
Тюменская область,2017,3251484.0,Тюменская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2017,1411867.0,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2017,503121.0,Ямало-Ненецкий автономный округ
Челябинская область,2017,3621426.0,Челябинская область
Сибирский федеральный округ,2017,20178131.0,
Республика Алтай,2017,202945.0,Республика Алтай
Республика Тыва,2017,305216.0,Республика Тыва
Республика Хакасия,2017,549489.0,Республика Хакасия
Алтайский край,2017,2621050.0,Алтайский край
Агинский Бурятский округ (Забайкальский край),2017,71777.0,Забайкальский край
Красноярский край,2017,2981746.0,Красноярский край
Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край),2017,39160.0,
Эвенкийский автономный округ (Красноярский край),2017,17751.0,
Иркутская область,2017,2599675.0,Иркутская область
Кемеровская область - Кузбасс,2017,2917769.0,Кемеровская область
Усть-Ордынский Бурятский округ,2017,135210.0,
Новосибирская область,2017,2703012.0,Новосибирская область
Омская область,2017,2094735.0,Омская область
Томская область,2017,1049770.0,Томская область
Дальневосточный федеральный округ,2017,6743006.0,
Республика Бурятия,2017,987289.0,Республика Бурятия
Забайкальский край,2017,1165435.0,Забайкальский край
Республика Саха (Якутия),2017,951478.0,Республика Саха (Якутия)
Камчатский край,2017,361646.0,Камчатский край
"Корякский округ, входящий в состав Камчатского края",2017,25685.0,
Приморский край,2017,2085743.0,Приморский край
Хабаровский край,2017,1446177.0,Хабаровский край
Амурская область,2017,911381.0,Амурская область
Магаданская область,2017,187218.0,Магаданская область
Сахалинская область,2017,552155.0,Сахалинская область
Еврейская автономная область,2017,191899.0,Еврейская автономная область
Чукотский автономный округ,2017,55309.0,Чукотский автономный округ
Раздел 1. Муниципальные образования субъектов Российской Федерации,2018,144963650.0,
Центральный федеральный округ,2018,37946810.0,
Белгородская область,2018,1511899.0,Белгородская область
Брянская область,2018,1375004.0,Брянская область
Владимирская область,2018,1520057.0,Владимирская область
Воронежская область,2018,2374461.0,Воронежская область
Ивановская область,2018,1144540.0,Ивановская область
Калужская область,2018,1038614.0,Калужская область
Костромская область,2018,734453.0,Костромская область
Курская область,2018,1231097.0,Курская область
Липецкая область,2018,1211008.0,Липецкая область
Московская область,2018,6616879.0,Московская область
Орловская область,2018,858312.0,Орловская область
Рязанская область,2018,1223738.0,Рязанская область
Смоленская область,2018,1045878.0,Смоленская область
Тамбовская область,2018,1174233.0,Тамбовская область
Тверская область,2018,1465568.0,Тверская область
Тульская область,2018,1669792.0,Тульская область
Ярославская область,2018,1364374.0,Ярославская область
Город Москва столица Российской Федерации город федерального значения,2018,10386903.0,Москва
Северо-Западный федеральный округ,2018,13948539.0,
Республика Карелия,2018,715213.0,Республика Карелия
Республика Коми,2018,1016040.0,Республика Коми
Архангельская область,2018,1332655.0,Архангельская область
Ненецкий автономный округ (Архангельская область),2018,41699.0,Ненецкий автономный округ
Вологодская область,2018,1266848.0,Вологодская область
Калининградская область,2018,954093.0,Калининградская область
Ленинградская область,2018,1667150.0,Ленинградская область
Мурманская область,2018,889809.0,Мурманская область
Новгородская область,2018,692138.0,Новгородская область
Псковская область,2018,758119.0,Псковская область
Город Санкт-Петербург город федерального значения,2018,4656474.0,Санкт-Петербург
Республика Адыгея (Адыгея),2018,446828.0,Республика Адыгея
Республика Калмыкия,2018,291850.0,Республика Калмыкия
Краснодарский край,2018,5119857.0,Краснодарский край
Астраханская область,2018,1004780.0,Астраханская область
Волгоградская область,2018,2694232.0,Волгоградская область
Ростовская область,2018,4396672.0,Ростовская область
Республика Дагестан,2018,2581412.0,Республика Дагестан
Республика Ингушетия,2018,468773.0,Республика Ингушетия
Кабардино-Балкарская Республика,2018,901051.0,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2018,438853.0,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2018,709671.0,Республика Северная Осетия - Алания
Чеченская Республика,2018,1105378.0,Чеченская Республика
Ставропольский край,2018,2732502.0,Ставропольский край
Приволжский федеральный округ,2018,31104512.0,
Республика Башкортостан,2018,4102274.0,Республика Башкортостан
Республика Марий Эл,2018,726730.0,Республика Марий Эл
