region,year,welfare_percent,region_standard
Владимирская область,2019,23.4,Владимирская область
Воронежская область,2019,19.0,Воронежская область
Ивановская область,2019,25.1,Ивановская область
Калужская область,2019,16.6,Калужская область
Костромская область,2019,19.2,Костромская область
Курская область,2019,20.9,Курская область
Липецкая область,2019,19.9,Липецкая область
Московская область,2019,19.0,Московская область
Орловская область,2019,25.0,Орловская область
Рязанская область,2019,20.4,Рязанская область
Смоленская область,2019,25.3,Смоленская область
Тамбовская область,2019,23.1,Тамбовская область
Тверская область,2019,21.4,Тверская область
Тульская область,2019,22.8,Тульская область
Ярославская область,2019,22.3,Ярославская область
г. Москва,2019,17.2,Москва
Республика Карелия,2019,24.4,Республика Карелия
Республика Коми,2019,21.8,Республика Коми
Архангельская область,2019,22.4,Архангельская область
Вологодская область,2019,24.1,Вологодская область
Калининградская область,2019,9.3,Калининградская область
Ленинградская область,2019,16.5,Ленинградская область
Мурманская область,2019,21.2,Мурманская область
Новгородская область,2019,21.9,Новгородская область
Псковская область,2019,21.3,Псковская область
г. Санкт-Петербург,2019,18.4,Санкт-Петербург
Ненецкий автономный округ,2019,14.3,Ненецкий автономный округ
Республика Адыгея,2019,18.3,Республика Адыгея
Республика Калмыкия,2019,23.5,Республика Калмыкия
Республика Крым,2019,13.0,Республика Крым
Краснодарский край,2019,22.9,Краснодарский край
Астраханская область,2019,25.8,Астраханская область
Волгоградская область,2019,24.0,Волгоградская область
Ростовская область,2019,25.1,Ростовская область
г. Севастополь,2019,13.2,Севастополь
Республика Дагестан,2019,24.5,Республика Дагестан
Республика Ингушетия,2019,29.5,Республика Ингушетия
"Кабардино-Балкарская
Республика",2019,24.0,
"Карачаево-Черкесская
Республика",2019,20.8,
"Республика Северная
Осетия-Алания",2019,23.7,
Чеченская Республика,2019,28.5,Чеченская Республика
Ставропольский край,2019,26.3,Ставропольский край
Республика Башкортостан,2019,20.0,Республика Башкортостан
Республика Марий Эл,2019,22.7,Республика Марий Эл
Республика Мордовия,2019,21.9,Республика Мордовия
Республика Татарстан,2019,12.7,Республика Татарстан
Удмуртская Республика,2019,20.5,Удмуртская Республика
Чувашская Республика,2019,21.8,Чувашская Республика
Пермский край,2019,22.1,Пермский край
Кировская область,2019,25.0,Кировская область
Нижегородская область,2019,22.4,Нижегородская область
Оренбургская область,2019,23.9,Оренбургская область
Пензенская область,2019,22.0,Пензенская область
Самарская область,2019,22.0,Самарская область
Саратовская область,2019,25.7,Саратовская область
Ульяновская область,2019,25.2,Ульяновская область
Курганская область,2019,22.8,Курганская область
Свердловская область,2019,22.3,Свердловская область
Тюменская область,2019,20.6,Тюменская область
Челябинская область,2019,23.3,Челябинская область
"Ханты-Мансийский 
автономный округ - Югра",2019,15.6,
"Ямало-Ненецкий 
автономный округ",2019,13.0,
Республика Алтай,2019,16.1,Республика Алтай
Республика Тыва,2019,21.2,Республика Тыва
Республика Хакасия,2019,23.8,Республика Хакасия
Алтайский край,2019,28.3,Алтайский край
Красноярский край,2019,21.8,Красноярский край
Иркутская область,2019,29.3,Иркутская область
Кемеровская область,2019,22.5,Кемеровская область
Новосибирская область,2019,21.1,Новосибирская область
Омская область,2019,27.9,Омская область
Томская область,2019,20.8,Томская область
Республика Бурятия,2019,20.5,Республика Бурятия
Республика Саха (Якутия),2019,15.1,Республика Саха (Якутия)
Забайкальский край,2019,22.1,Забайкальский край
Камчатский край,2019,13.7,Камчатский край
Приморский край,2019,22.1,Приморский край
Хабаровский край,2019,22.8,Хабаровский край
Амурская область,2019,22.7,Амурская область
Магаданская область,2019,12.3,Магаданская область
Сахалинская область,2019,13.8,Сахалинская область
Еврейская автономная область,2019,25.7,Еврейская автономная область
Чукотский автономный округ,2019,4.7,Чукотский автономный округ
Российская Федерация,2020,21.3,
Белгородская область,2020,16.1,Белгородская область
Брянская область,2020,23.1,Брянская область
Владимирская область,2020,26.0,Владимирская область
Воронежская область,2020,21.6,Воронежская область
Ивановская область,2020,25.1,Ивановская область
Калужская область,2020,16.9,Калужская область
Костромская область,2020,22.5,Костромская область
Курская область,2020,23.2,Курская область
Липецкая область,2020,22.3,Липецкая область
Московская область,2020,19.4,Московская область
Орловская область,2020,25.0,Орловская область
Рязанская область,2020,22.0,Рязанская область
Смоленская область,2020,27.2,Смоленская область
Тамбовская область,2020,23.9,Тамбовская область
Тверская область,2020,22.5,Тверская область
Тульская область,2020,23.3,Тульская область
Ярославская область,2020,23.5,Ярославская область
г. Москва,2020,17.5,Москва
Республика Карелия,2020,24.2,Республика Карелия
Республика Коми,2020,22.7,Республика Коми
Архангельская область,2020,21.4,Архангельская область
Вологодская область,2020,25.9,Вологодская область
Калининградская область,2020,12.6,Калининградская область
