region_standard,year,total,18_30,31_40,41_50,51_60,60_
Кемеровская область,2018,216615.25,10024.25,16886.083333333332,20097.666666666668,40682.583333333336,128924.66666666667
Кемеровская область,2019,221481.25,9742.416666666666,17352.5,21249.916666666668,38998.416666666664,134138.0
Кемеровская область,2020,215539.91666666666,9157.166666666666,17109.333333333332,21361.666666666668,35637.25,132274.5
Кемеровская область,2021,208638.91666666666,9075.666666666666,16846.833333333332,21723.583333333332,32740.833333333332,128252.0
Кировская область,2017,128391.83333333333,4185.916666666667,6174.75,7656.416666666667,19720.416666666668,90654.33333333333
Кировская область,2018,124827.91666666667,3818.0833333333335,6261.666666666667,7666.0,18209.333333333332,88872.83333333333
Кировская область,2019,122279.0,3567.5833333333335,6314.833333333333,7789.333333333333,16817.583333333332,87789.66666666667
Кировская область,2020,119749.75,3409.9166666666665,6309.416666666667,7996.666666666667,15476.666666666666,86557.08333333333
Кировская область,2021,114778.33333333333,3289.8333333333335,6279.333333333333,8182.5,14389.5,82637.16666666667
Костромская область,2017,63271.0,2366.5833333333335,3771.0833333333335,4959.583333333333,11938.333333333334,40235.416666666664
Костромская область,2018,61182.583333333336,2163.6666666666665,3774.0,4812.25,11116.833333333334,39315.833333333336
Костромская область,2019,59600.916666666664,2039.0,3761.6666666666665,4722.916666666667,10345.333333333334,38732.0
Костромская область,2020,57721.166666666664,1916.75,3722.75,4678.916666666667,9504.5,37898.25
Костромская область,2021,55180.583333333336,1844.9166666666667,3635.9166666666665,4705.416666666667,8668.166666666666,36326.166666666664
Краснодарский край,2017,423260.9090909091,19298.545454545456,26302.18181818182,37900.36363636364,78150.90909090909,261608.9090909091
Краснодарский край,2018,426189.75,18649.916666666668,27195.166666666668,38734.333333333336,77036.0,264574.3333333333
Краснодарский край,2019,430170.6666666667,18369.416666666668,27953.0,40067.75,75420.91666666667,268359.5833333333
Краснодарский край,2020,428508.4166666667,18221.0,28276.666666666668,40962.25,72811.33333333333,268237.1666666667
Краснодарский край,2021,419381.5833333333,18656.083333333332,28178.916666666668,41667.333333333336,69346.16666666667,261533.08333333334
Красноярский край,2017,179311.81818181818,10941.90909090909,15541.0,17503.090909090908,34691.09090909091,100634.72727272728
Красноярский край,2018,182805.41666666666,10366.666666666666,15931.833333333334,18329.25,34168.0,104009.66666666667
Красноярский край,2019,180534.91666666666,9970.25,16029.166666666666,18959.166666666668,32411.833333333332,103164.5
Красноярский край,2020,181371.83333333334,9870.083333333334,16107.166666666666,19783.916666666668,31388.916666666668,104221.75
Красноярский край,2021,178782.91666666666,10001.5,16031.083333333334,20468.333333333332,30043.416666666668,102238.58333333333
Курганская область,2017,75686.66666666667,3356.5,4921.666666666667,6255.416666666667,13715.666666666666,47437.416666666664
Курганская область,2018,74251.58333333333,3111.8333333333335,4991.75,6267.75,12934.5,46945.75
Курганская область,2019,73100.58333333333,2974.6666666666665,4977.0,6322.833333333333,12066.5,46759.583333333336
Курганская область,2020,71866.66666666667,2894.8333333333335,4961.583333333333,6364.5,11395.416666666666,46250.333333333336
Курганская область,2021,69773.33333333333,2858.6666666666665,4953.25,6454.583333333333,10769.416666666666,44737.416666666664
Курская область,2017,120248.08333333333,5450.833333333333,8522.583333333334,13438.333333333334,28024.916666666668,64811.416666666664
Курская область,2018,119233.66666666667,5108.833333333333,8654.666666666666,13347.0,26916.416666666668,65206.75
Курская область,2019,119300.41666666667,4924.75,8666.75,13501.333333333334,25833.583333333332,66374.0
Курская область,2020,118291.16666666667,4804.833333333333,8571.166666666666,13534.0,24544.333333333332,66836.83333333333
Курская область,2021,115518.08333333333,4702.75,8494.166666666666,13408.5,23221.166666666668,65691.5
Ленинградская область,2017,144254.33333333334,4885.166666666667,7699.416666666667,9939.0,23307.916666666668,98422.83333333333
Ленинградская область,2018,141081.66666666666,4560.833333333333,7755.25,10060.583333333334,21901.916666666668,96803.08333333333
Ленинградская область,2019,137613.75,4279.333333333333,7694.5,10044.25,20269.666666666668,95326.0
Ленинградская область,2020,131260.58333333334,3795.25,7342.666666666667,9756.25,18478.5,91887.91666666667
Ленинградская область,2021,124774.91666666667,3522.1666666666665,7169.416666666667,9803.916666666666,17104.583333333332,87174.83333333333
Липецкая область,2017,123266.08333333333,4436.916666666667,6769.166666666667,10180.333333333334,24124.333333333332,77755.33333333333
Липецкая область,2018,119909.25,4043.8333333333335,6730.666666666667,9923.083333333334,22412.916666666668,76798.75
Липецкая область,2019,117438.41666666667,3787.1666666666665,6680.0,9779.75,20938.416666666668,76253.08333333333
Липецкая область,2020,114273.33333333333,3669.8333333333335,6634.666666666667,9705.166666666666,19430.333333333332,74833.33333333333
Липецкая область,2021,109791.75,3633.5833333333335,6578.333333333333,9643.666666666666,18071.583333333332,71864.58333333333
Магаданская область,2017,5053.25,402.6666666666667,592.5833333333334,666.1666666666666,1071.0833333333333,2320.75
Магаданская область,2018,4988.916666666667,372.0833333333333,585.9166666666666,663.6666666666666,1036.4166666666667,2330.8333333333335
